iter	RMSE
0	876.7966686
1	776.7636616
2	698.3917113
3	640.4038885
4	599.3425116
5	567.9677225
6	539.2475067
7	515.3267755
8	500.8094915
9	489.1603784
10	480.0879678
11	472.5432673
12	463.6141536
13	456.2489089
14	449.8914474
15	445.5089025
16	441.458253
17	436.0784171
18	430.6787056
19	428.87888
20	426.7391955
21	423.3984087
22	421.1566065
23	416.2999416
24	414.122816
25	412.4396124
26	409.0187423
27	405.0601236
28	401.891838
29	398.9862157
30	396.8371463
31	395.2826434
32	393.3661336
33	389.9351515
34	388.7642025
35	386.0834456
36	383.2102637
37	380.8076159
38	378.2075851
39	375.7617835
40	372.4428892
41	370.768036
42	368.9823874
43	365.8127711
44	364.5664805
45	361.8818949
46	360.0148475
47	356.9494975
48	354.8389482
49	353.4993082
50	351.1494619
51	349.4718373
52	347.8860867
53	345.3806088
54	343.6094661
55	341.5731465
56	339.0927195
57	337.3650622
58	336.1983187
59	335.0057064
60	333.6990759
61	332.2876292
62	330.7512025
63	328.5294717
64	327.1481546
65	325.4574736
66	323.5230788
67	322.6944856
68	320.4131656
69	318.3771159
70	316.5382682
71	314.5389119
72	312.9944637
73	311.6492389
74	310.6295753
75	309.5228408
76	308.2359959
77	307.1881305
78	306.0681801
79	304.4665306
80	303.527878
81	302.3632894
82	301.2093481
83	300.5003201
84	299.4579836
85	298.1076037
86	297.3657303
87	296.1346127
88	295.5837277
89	294.0145827
90	292.6332366
91	291.9999743
92	291.3620686
93	290.7434416
94	289.1052476
95	288.3531869
96	286.9719552
97	286.216352
98	285.4188316
99	284.802054
100	283.7253148
101	282.3938665
102	281.204583
103	279.6109182
104	278.7415176
105	277.5640109
106	276.9305765
107	276.347081
108	275.3566279
109	274.3430536
110	273.7917503
111	273.1171798
112	272.1665101
113	271.2227437
114	270.0187474
115	269.4284796
116	268.4555333
117	267.679611
118	266.7693513
119	265.8383034
120	264.5404045
121	264.0309607
122	263.3586347
123	262.8091817
124	261.8036567
125	261.401501
126	260.6543507
127	260.1706484
128	259.5631559
129	258.7856794
130	258.0344968
131	257.2876882
132	256.3038531
133	255.4740708
134	254.9857388
135	254.2035542
136	253.3375704
137	252.7135149
138	252.0531019
139	251.1605231
140	250.4500933
141	249.7714491
142	249.0607991
143	248.3473301
144	247.8864362
145	247.3987889
146	246.9185159
147	246.2540811
148	245.9558391
149	245.3046861
150	244.783269
151	243.9325806
152	243.4175152
153	242.7883736
154	242.1640979
155	241.5942613
156	241.0020321
157	240.6893396
158	240.0506449
159	239.5555038
160	238.895122
161	238.1839803
162	237.6683359
163	237.4333792
164	236.9153482
165	236.2943554
166	235.8088095
167	235.2779936
168	234.5970352
169	234.0709893
170	233.8314879
171	233.2343165
172	232.85188
173	232.3394877
174	231.7518677
175	231.3275414
176	230.5531379
177	230.1250361
178	229.4566345
179	228.5562654
180	228.108434
181	227.4502967
182	226.7187293
183	226.3956909
184	225.904717
185	225.4283648
186	224.9761231
187	224.1584977
188	223.4747636
189	222.7991902
190	222.4246999
191	222.0767554
192	221.4484282
193	220.8859364
194	220.3266258
195	219.7554976
196	219.3551236
197	219.133696
198	218.7331423
199	218.1104886
