iter	Passed	Remaining
0	156	31086
1	168	16668
2	179	11778
3	191	9388
4	202	7907
5	214	6923
6	226	6244
7	237	5699
8	247	5247
9	257	4896
10	266	4573
11	275	4319
12	284	4086
13	292	3892
14	302	3730
15	312	3592
16	322	3474
17	332	3357
18	341	3252
19	350	3158
20	360	3076
21	370	2995
22	379	2916
23	388	2852
24	397	2782
25	406	2720
26	415	2660
27	423	2604
28	432	2549
29	440	2498
30	449	2447
31	458	2406
32	467	2364
33	476	2328
34	486	2295
35	496	2262
36	505	2227
37	514	2194
38	526	2172
39	538	2153
40	550	2135
41	561	2112
42	574	2097
43	585	2077
44	595	2052
45	606	2030
46	615	2004
47	626	1982
48	637	1963
49	646	1940
50	656	1918
51	668	1903
52	680	1887
53	689	1865
54	700	1846
55	710	1826
56	719	1805
57	728	1783
58	736	1760
59	746	1742
60	755	1721
61	767	1708
62	777	1691
63	789	1676
64	798	1658
65	810	1644
66	819	1627
67	830	1612
68	840	1596
69	852	1583
70	863	1569
71	874	1555
72	885	1539
73	895	1524
74	905	1509
75	916	1495
76	928	1482
77	939	1469
78	950	1455
79	960	1440
80	970	1426
81	981	1412
82	991	1397
83	1003	1385
84	1013	1371
85	1022	1355
86	1033	1341
87	1042	1326
88	1052	1312
89	1062	1299
90	1074	1286
91	1083	1272
92	1093	1257
93	1102	1242
94	1112	1229
95	1125	1219
96	1137	1208
97	1147	1194
98	1158	1181
99	1168	1168
100	1179	1156
101	1190	1144
102	1202	1132
103	1211	1118
104	1221	1104
105	1230	1091
106	1239	1077
107	1250	1065
108	1270	1060
109	1288	1054
110	1299	1041
111	1311	1030
112	1323	1018
113	1334	1006
114	1348	996
115	1359	984
116	1371	972
117	1383	961
118	1394	949
119	1404	936
120	1425	930
121	1440	920
122	1454	910
123	1464	897
124	1474	884
125	1484	871
126	1493	858
127	1502	845
128	1511	832
129	1521	819
130	1530	805
131	1538	792
132	1548	779
133	1556	766
134	1566	754
135	1578	742
136	1587	729
137	1596	717
138	1605	704
139	1613	691
140	1623	679
141	1633	667
142	1644	655
143	1654	643
144	1664	631
145	1673	618
146	1681	606
147	1691	594
148	1704	583
149	1714	571
150	1727	560
151	1738	548
152	1748	537
153	1760	525
154	1770	514
155	1780	502
156	1791	490
157	1800	478
158	1812	467
159	1824	456
160	1834	444
161	1845	432
162	1855	421
163	1865	409
164	1876	398
165	1886	386
166	1895	374
167	1906	363
168	1916	351
169	1928	340
170	1937	328
171	1948	317
172	1958	305
173	1967	293
174	1977	282
175	1985	270
176	1994	259
177	2003	247
178	2016	236
179	2026	225
180	2036	213
181	2048	202
182	2058	191
183	2067	179
184	2076	168
185	2086	157
186	2095	145
187	2103	134
188	2114	123
189	2123	111
190	2132	100
191	2143	89
192	2152	78
193	2160	66
194	2170	55
195	2180	44
196	2188	33
197	2196	22
198	2204	11
199	2214	0
