crop_type,Districts,mean,std,count
Barley,Achham,1151.7632224615386,200.10868105482584,13
Barley,Arghakhanchi,1402.7089027692307,327.42242474531923,13
Barley,Baglung,1366.1741942307692,158.8627322450332,13
Barley,Baitadi,1012.5299145307692,430.23105609989267,13
Barley,Bajhang,977.3884140538461,332.34460822792147,13
Barley,Bajura,1168.6153846153845,278.00106068788614,13
Barley,Banke,1113.1776156923077,180.01437413720788,13
Barley,Bara,1466.9876543076923,579.757521601985,13
Barley,Bardiya,1142.0237695384617,227.53874748611307,13
Barley,Bhaktapur,1618.957264923077,637.6941575178457,13
Barley,Bhojpur,1239.9270216923078,204.89656762254657,13
Barley,Chitwan,1553.6068376153848,412.41428993176515,13
Barley,Dadeldhura,1248.2138968461538,225.9630438486724,13
Barley,Dailekh,1272.1835580769232,110.40285281132395,13
Barley,Dang,1174.8128820769232,283.05742090611704,13
Barley,Darchula,1053.7264957230768,303.0696201924514,13
Barley,Dhading,1169.433561076923,163.3980152573152,13
Barley,Dhankuta,974.4285714285714,67.65564066865166,7
Barley,Dhanusha,1129.8699233846155,305.8910185524189,13
Barley,Dolakha,1106.4962444615385,95.4733696868027,13
Barley,Dolpa,1192.857142857143,430.31439226509286,7
Barley,Doti,1096.3846153846155,284.89750743660386,13
Barley,Gorkha,1210.2027972307692,162.20629809387324,13
Barley,Gulmi,1584.7081112307692,270.22406881764533,13
Barley,Humla,1229.6,185.75871446583602,5
Barley,Illam,1201.021164,92.16050503010638,7
Barley,Jajarkot,1015.6759259166666,298.24423535502154,12
Barley,Jhapa,1373.5213675384616,508.3048229039659,13
Barley,Jumla,1584.2962963333332,286.9858419219567,9
Barley,Kailali,1528.0555555,504.43517922058993,8
Barley,Kalikot,1434.7747084166667,498.36140709632076,12
Barley,Kanchanpur,1163.4130643076924,289.33365512430413,13
Barley,Kapilbastu,1683.5029661538463,368.60446585426524,13
Barley,Kaski,1167.8290598461538,313.99172888199445,13
Barley,Kathmandu,1243.4524691666668,384.7860153716816,12
Barley,Kavre,1380.930041153846,340.90454775022977,13
Barley,Khotang,1315.4367636153847,446.53633425858095,13
Barley,Lalitpur,1130.617283923077,295.10849787167314,13
Barley,Lamjung,1264.3991253846154,317.898332082147,13
Barley,Mahottari,1036.7160772307693,81.46902761053141,13
Barley,Makwanpur,1293.8508158461539,113.42519197332749,13
Barley,Manang,1760.7322530833335,205.06897909468563,12
Barley,Morang,1044.0,,1
Barley,Mugu,1137.142857142857,206.594150103876,7
Barley,Mustang,1815.2851037692308,102.95693004149834,13
Barley,Myagdi,1247.6278551538462,139.59435304382748,13
Barley,Nawalparasi,1801.4729723846153,694.0728257544229,13
Barley,Nuwakot,1169.239819,160.24816117505338,13
Barley,Okhaldhunga,1277.0697256153846,273.65253765910046,13
Barley,Palpa,1472.961742,263.0342511824319,13
Barley,Panchthar,1268.8039143076921,123.34527886702219,13
Barley,Parbat,1103.3739556153846,211.65214252304713,13
Barley,Parsa,1262.3608538461538,173.9673194448056,13
Barley,Pyuthan,1460.689718923077,216.9188872493749,13
Barley,Ramechap,1088.019943,259.24967512400525,13
Barley,Rasuwa,1281.7960723076924,88.89832942495583,13
Barley,Rautahat,1247.0297119230768,267.2566210898785,13
Barley,Rolpa,1168.6302886923077,129.55460093604086,13
Barley,Rukum,1856.8255505384614,685.6709337320564,13
Barley,Rupandehi,2100.2574157692306,409.0938199921266,13
Barley,Salyan,1321.4618156923077,230.6236443874253,13
Barley,Sankhuwashava,1067.3443223076922,209.58129453842915,13
