Model,MAE,MSE,RMSE,R2 Score,Best Params
Stacking,246.9997448990542,121391.72363426504,348.4131507768687,0.8776389765988698,Default
Random Forest,241.1832508320098,122110.6214127491,349.44330214320763,0.876914338499479,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
CatBoost,257.44935841732075,125256.01186798362,353.9152608577138,0.8737438324420956,"{'depth': 8, 'iterations': 200, 'learning_rate': 0.2}"
XGBoost,260.98638160159305,131277.96356163747,362.323009980925,0.867673796116327,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}"
LightGBM,263.7922427973936,131380.00937461114,362.463804226865,0.867570935478588,"{'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 200}"
Gradient Boosting,262.22116197701234,133118.59265549667,364.85420739727897,0.8658184697984879,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}"
Decision Tree,322.2612760384581,197681.8092048472,444.61422514900175,0.8007397229569907,"{'max_depth': 10, 'min_samples_split': 5}"
SVR,361.0419212512063,242867.5599068994,492.81594932276636,0.755193168929062,"{'C': 100.0, 'epsilon': 1.0}"
Ridge,390.84079462894647,264985.10930153076,514.767043721265,0.7328990132977778,{'alpha': 1.0}
Lasso,391.0858839352094,265570.2445627641,515.3350798876049,0.7323092057948519,{'alpha': 0.01}
Linear Regression,391.10338815250407,265601.43931476236,515.36534547325,0.7322777619561373,Default
