feature,importance
Area,422.75067
crop_type_Millet,200.72275
crop_type_Paddy,173.71017
avg_wind_speed_m/s,104.648026
avg_pH_value,104.075836
fertilizer_in_MT,103.975655
fertilizer_per_area,78.079216
crop_type_Maize,68.27003
crop_type_Wheat,53.11815
crop_type_Buckwheat,17.438053
Districts_Nawalparasi,14.849338
crop_type_Barley,12.564127
Districts_Rupandehi,8.562036
Districts_Bhaktapur,6.5165253
Districts_Parsa,3.3777397
Districts_Rukum,3.3181698
Districts_Dhankuta,2.7892973
Districts_Kapilbastu,1.9657435
log_fertilizer_in_MT,0.0
log_Area,0.0
